Assessment Stage,Competency,Description,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft & Visual Design: ,"This is the executional quality of the work. It encompasses a designer's strong command of typography, layout, color, and spacing, ensuring UIs are clean, consistent, and well-structured. It also includes the demonstration of taste, a refined visual sensibility that results in designs that ""just look good"" and feel balanced and intentional. Prototyping and AI-driven design are also crucial here; designers should be able to create high-fidelity prototypes to share with the team and explore emerging tools like AI to enhance their workflow.","Visuals are functional but standard. Relies heavily on existing templates or systems without adding value. Prototypes are basic or static. Lack of personal building or ""builder"" mindset.	","Strong visual craft and professional presentation. Follows established patterns well and produces clean work. Includes prototypes, but innovation in tooling or method is limited.        ",A portfolio demonstrating exceptional building skills and taste; ability to set new design standards and patterns; masterfully uses advanced prototyping and AI tools.        ,"Sets industry benchmarks for craft. Defines entirely new visual languages or interaction paradigms. Work is visionary and demonstrates ""builder"" capabilities that rival front-end engineering.
"
,Product Sense & Strategy:,"This competency is about understanding the broader business context and how design directly contributes to product goals and business outcomes. It’s about being a strategic partner, challenging low-impact features, and contributing to the roadmap. Designs should be intentional and grounded in data, leveraging both qualitative and quantitative insights to validate decisions and frame them as testable hypotheses.",Focuses on execution of features handed down. Understanding of business impact is theoretical or limited to basic metrics. Reacts to roadmaps rather than shaping them.        ,"Connects design work to clear business outcomes. Can explain the ""why"" behind features. Projects have impact, but scope is usually limited to a specific product area or feature set.	",Demonstrates deep strategic insight that shapes product roadmaps; identifies and unlocks new business opportunities; decisions transform the platform and drive revenue.        ,Defines long-term product vision (1-3 years). Identify entire market pivots or new business lines through design. Strategy influences the company's direction at the executive level.
,Communication,"Clear, confident communication is essential for Deel designers. They must be skilled storytellers who can articulate design decisions with clarity and purpose, tailoring their message to suit different audiences. Beyond simply presenting work, they ""sell"" their design vision - bringing others along the journey through persuasive narratives that connect design rationale to user needs and business impact.","Communication is clear but linear. Explains ""what"" was done but misses the persuasive ""why."" Struggles to engage senior stakeholders or summarize complex context.        ","Communication shows some structure but lacks depth or consistency. Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.","Synthesizes complex ambiguity into clear strategic direction; ensures alignment across diverse stakeholders through persuasive narrative; articulates trade-offs effectively to unblock decision-making.
","Acts as a strategic partner to executive leadership; uses communication to fundamentally shift organizational culture or product vision; narrative skills are so compelling they serve as a primary driver for business strategy.
"
,User-centered problem solving,"This is the foundation of great UX. It's the ability to define and simplify complex user problems and create intuitive, elegant, and user-centered solutions. This includes framing problems clearly, mapping pain points, thinking through all possible states and edge cases, and catching them early in the process.","Focuses primarily on surface-level execution; accepts briefs without questioning or validating the underlying problem. Process is linear, lacking rigor in research or validation. Fails to anticipate edge cases or technical constraints, resulting in brittle solutions.
","Applies a structured, standard UX process to solve well-defined problems effectively. Conducts research and validation for specific features. However, the scope is often limited to a single workflow, lacking connection to the broader product ecosystem or deeper business strategy.","Thrives in high ambiguity to define and solve systemic problems; connects user needs across multiple product surfaces; solutions address root causes rather than symptoms and account for technical scalability.
",Pioneers new problem-solving frameworks or methodologies for the organization; identifies and solves user problems that require a pivot in business strategy; sets the industry standard for user-centric innovation.
Talent interview,Experience and background,"Experience and Background evaluates the candidate’s design trajectory, depth of exposure to real product environments, types of problems they’ve solved, industries they've worked in, and how their previous experience aligns with the role’s expectations.",Clearly below Staff level; no experience influencing org-wide decisions or shaping standards.,Has Staff-level experience but no history of org-level ownership or long-term systems thinking.,"Has deep multi-domain experience, sets standards, and influences multiple teams; strong long-term product thinking.","Exceptional track record: shapes organization-wide design vision, defines standards, creates frameworks, and mentors at Staff+ level."
,Product Sense & Strategy:,"This competency is about understanding the broader business context and how design directly contributes to product goals and business outcomes. It’s about being a strategic partner, challenging low-impact features, and contributing to the roadmap. Designs should be intentional and grounded in data, leveraging both qualitative and quantitative insights to validate decisions and frame them as testable hypotheses.",No strategic clarity; cannot discuss product vision or long-term impacts.,Understands strategy but cannot influence it; lacks long-term foresight or data-driven reasoning.,Shapes product strategy across teams; identifies risks/opportunities; aligns design decisions with business outcomes.,Operates as a strategic thought partner to executives; creates long-term vision; impacts portfolios or product lines.
,Collaboration,"Designers at Deel are expected to work seamlessly across functions, building strong partnerships with peers and stakeholders. They proactively seek and provide feedback, foster trust, and contribute to a supportive, solution-oriented team environment. Effective collaboration means understanding cross-functional priorities, aligning on shared goals, and ensuring design decisions complement broader business and product objectives.",Unable to lead alignment; creates friction across org; lacks cross-functional credibility.,Participates but does not lead multi-team collaboration; limited influence beyond the squad.,"Drives alignment across org, resolves conflicts, establishes repeatable processes, and becomes a trusted partner for leadership.","Transforms collaboration culture; builds cross-org systems, governance, and alignment structures; highly influential."
,Communication,"Clear, confident communication is essential for Deel designers. They must be skilled storytellers who can articulate design decisions with clarity and purpose, tailoring their message to suit different audiences. Beyond simply presenting work, they ""sell"" their design vision - bringing others along the journey through persuasive narratives that connect design rationale to user needs and business impact.",Unable to communicate complex ideas clearly or influence decision-makers.,Communicates but not at executive-ready level; messaging lacks vision or structure.,"Influences senior stakeholders through clear, strategic storytelling; sets communication patterns.","World-class communicator; shapes narratives at exec & org level; inspires teams with clarity, vision, and persuasion."
,Ownership & Drive,"This is about a designer's agency and self-motivation. A high-performing designer takes initiative, pushes for quality, and drives work forward without being asked. They act with autonomy and demonstrate a deep sense of responsibility for their work, bringing potential solutions to the table rather than just problems.",No history of org-level ownership; avoids big challenges; waits for direction.,Has Staff-level ownership but does not scale to org-wide opportunities; limited initiative.,Owns org-level initiatives; drives long-term product quality; sponsors scalable improvements and mentors leaders.,"Behaves like a design executive: defines org priorities, leads transformations, scales systems, and creates compounding impact across teams."
Case study,Craft & Visual Design: ,"This is the executional quality of the work. It encompasses a designer's strong command of typography, layout, color, and spacing, ensuring UIs are clean, consistent, and well-structured. It also includes the demonstration of taste, a refined visual sensibility that results in designs that ""just look good"" and feel balanced and intentional. Prototyping and AI-driven design are also crucial here; designers should be able to create high-fidelity prototypes to share with the team and explore emerging tools like AI to enhance their workflow.","The chosen problem is vague, trivial, or lacks strategic alignment with the app's business goals. Assumptions about the user are generic, and there's no clear plan for validation.","Clearly defines a specific, relevant user problem and articulates a reasonable connection to business goals and market position. Identifies key user flows, assumptions, and proposes a basic, logical validation approach.","Defines a highly strategic problem that addresses a significant user need and a clear business opportunity. Proactively integrates external/competitive learnings. Proposes a comprehensive, insightful validation strategy that minimizes risk.","Transforms the task's premise by identifying a deeper, systemic root problem or a completely untapped opportunity that drives new business value (e.g., a platform play vs. a feature). The solution is inherently scalable and sets up future strategic work."
