,,Lead Product Designer (M1),Group Design Manager (M2),Director (M3),Senior Director (M4),VP Design (E1)
Overview,Level Description,"First-line manager: leads a team of designers within a single product area. Balances hands-on craft contribution with people management. Responsible for team delivery, individual growth, and maintaining design quality within their scope.","Multi-team manager: leads multiple design teams or a large team across a product vertical. Focuses on scaling design impact, building team capability, and driving consistent quality. May manage other design leads.","Functional leader: owns design strategy and execution across a major business area or multiple verticals. Drives cross-functional alignment, builds organizational capability, and shapes how design contributes to business outcomes at scale.","Senior functional leader: leads design across multiple business areas or the majority of the design organization. Sets strategic direction, builds leadership capability, and ensures design impact is felt at the executive level. Partners with C-suite on company priorities.","Executive leader: owns the design function end-to-end. Defines the design vision and strategy for the company. Shapes company culture, represents design at the board level, and drives transformational change through design leadership."
Problem Solving,Strategic Problem Framing,"Frames problems clearly within their team's scope and connects design work to product strategy. Helps the team focus on high-impact problems by translating business context into actionable design direction. Coaches designers to question assumptions and explore multiple approaches before converging.","Defines the problem space across multiple teams, identifying the most impactful opportunities for design investment. Reframes ambiguous challenges into structured approaches and ensures teams are solving the right problems. Connects cross-team insights to uncover systemic issues and opportunities.","Shapes how complex, cross-vertical problems are defined and prioritized. Challenges existing assumptions at a strategic level and ensures design teams are working on problems that drive meaningful business outcomes. Uses data, customer insight, and competitive awareness to guide problem selection.","Identifies high-leverage, cross-organizational problems that others may overlook. Frames strategic challenges that influence company direction and ensures design leadership is equipped to tackle them. Partners with senior leaders to redefine problem spaces when conditions change.","Sets the problem-solving philosophy for the design organization. Influences how the company identifies, frames, and prioritizes its most critical challenges. Ensures design thinking is embedded in executive decision-making and strategic planning."
Adaptability,Navigating Change,"Adapts team plans and priorities when business needs shift, maintaining team morale and delivery momentum. Models resilience and openness to change, helping direct reports navigate ambiguity. Experiments with new tools and methods to improve team effectiveness.","Leads teams through significant organizational or strategic changes with clarity and composure. Adjusts team structures, processes, and priorities to respond to evolving business needs. Creates psychological safety for teams to experiment and learn from failure.","Drives organizational adaptability across verticals by evolving processes, structures, and ways of working in response to business shifts. Builds change management capability within the design function. Anticipates disruption and prepares teams ahead of time.","Shapes how the design organization responds to large-scale change, mergers, restructuring, or market shifts. Builds adaptive capacity into the organizational DNA through hiring, culture, and operating model decisions. Maintains strategic focus while managing competing priorities.","Influences how the company adapts to industry-level disruption and market evolution. Ensures the design function is a source of organizational resilience. Sets the standard for adaptive leadership across the company, modeling composure and clarity in high-stakes uncertainty."
Customer Focus,Customer Advocacy,"Champions the customer perspective within their team, ensuring design decisions are grounded in real user needs and validated through research. Coaches designers to balance user advocacy with business constraints. Maintains close connection to customer feedback and product outcomes.","Ensures customer-centricity is embedded across multiple teams' ways of working. Establishes practices for continuous customer insight gathering and integration. Identifies gaps between customer needs and current product direction, escalating when necessary.","Drives customer advocacy at a strategic level, ensuring cross-vertical design decisions reflect deep understanding of diverse customer segments. Partners with product and research to shape the customer insight strategy. Influences product roadmaps based on customer impact.","Shapes the company's approach to customer understanding and experience quality across major business areas. Ensures customer voice is represented in strategic planning and executive decisions. Builds organizational capability to anticipate and respond to evolving customer needs.","Defines the company's customer experience vision and ensures it is reflected in strategy, culture, and operations. Represents the customer at the board level. Builds systems that make customer insight a competitive advantage and a core input to company decision-making."
Ownership,Accountability & Follow-through,"Takes full ownership of team outcomes, including delivery quality, timelines, and designer growth. Follows through relentlessly on commitments to stakeholders and team members. Proactively identifies and removes blockers, escalating when needed rather than waiting for issues to surface.","Owns outcomes across multiple teams or a product vertical, ensuring delivery aligns with business objectives. Holds team leads accountable for results while providing support and coaching. Manages complex dependencies across teams and drives work forward despite ambiguity.","Drives accountability for design outcomes across a major business area. Owns strategic initiatives end-to-end, from definition through measurable impact. Makes high-judgment trade-off decisions and takes responsibility for their downstream effects. Models ownership for the broader design organization.","Takes responsibility for high-impact, cross-organizational initiatives. Holds senior leaders accountable for design quality and customer impact. Drives operational excellence and ensures the design organization delivers consistently against strategic commitments.","Sets the standard for ownership and accountability across the entire design function and influences the broader company culture. Takes responsibility for the long-term health and impact of the design organization. Ensures the organization learns from outcomes and continuously improves."
Craft Excellence,Design Quality Leadership,"Maintains hands-on craft involvement, setting the quality bar for the team through direct contribution and critique. Ensures the team follows established design systems, patterns, and accessibility standards. Coaches individual designers to elevate their craft and delivers high-quality work alongside the team.","Elevates craft standards across multiple teams by establishing review practices, quality expectations, and mentorship. Ensures design systems are applied consistently and evolve to meet new needs. Identifies and addresses systemic quality gaps. Transitions from personal craft contribution to enabling craft excellence in others.","Defines craft direction and quality standards for a major business area. Ensures coherence and consistency across verticals. Builds the structures, rituals, and feedback loops that sustain design quality at scale. Guides senior designers on advancing the craft.","Shapes the long-term craft vision for the design organization. Co-defines with Directors and Principal Designers what excellence looks like and how it is practiced. Ensures craft standards evolve with the company's ambitions and market position.","Defines the design identity and craft philosophy for the company. Sets industry-level standards for design excellence. Ensures craft is valued and invested in at the organizational level. Represents the company's design quality externally."
Communication,Storytelling & Influence,"Communicates team progress, design rationale, and trade-offs clearly to direct stakeholders. Presents design work confidently and uses storytelling to build alignment with product and engineering partners. Coaches designers to articulate their decisions with clarity and purpose.","Shapes narratives that align multiple teams and stakeholder groups around shared design direction. Manages expectations and communicates trade-offs effectively in complex, multi-stakeholder contexts. Elevates the communication skills of team leads and senior designers.","Leads complex, high-stakes design conversations across verticals and with senior leadership. Uses compelling narratives to influence product direction and organizational priorities. Ensures design decisions are communicated with strategic context and business rationale.","Communicates design strategy and vision to executive audiences with authority and nuance. Navigates organizational politics and builds consensus across competing priorities. Shapes the narrative around design's value and impact at the senior leadership level.","Represents the design function at the highest levels of the company and externally. Uses storytelling to shape company strategy, culture, and brand. Sets the communication standard for the entire design organization and influences how design is perceived industry-wide."
Collaboration,Cross-functional Partnership,"Builds strong partnerships with product management, engineering, and other functions within their team's scope. Creates an environment of psychological safety where designers feel comfortable sharing work and giving feedback. Facilitates productive critiques and collaborative working sessions.","Orchestrates collaboration across multiple teams and functions, ensuring alignment on shared goals and reducing friction. Builds trust with senior cross-functional partners and establishes effective working norms. Resolves cross-team conflicts constructively.","Drives cross-vertical collaboration, aligning design with product, engineering, research, and business stakeholders at scale. Builds the systems and practices that enable effective partnership. Resolves complex, cross-functional conflicts and builds coalition support for design initiatives.","Shapes how collaboration works across the design organization and its partners. Builds strategic relationships with senior leaders across functions. Ensures design has a seat at the table in key organizational decisions and planning processes.","Defines the collaboration model for the design organization and influences cross-functional working practices company-wide. Builds executive-level partnerships that ensure design is integrated into the company's most important decisions and initiatives."
Drives High Performance,Performance Culture,"Sets clear expectations and goals for the team aligned with product and design priorities. Provides timely, specific feedback to build on strengths and address gaps. Recognizes strong performance and addresses underperformance constructively. Creates a culture where high standards and continuous improvement are the norm.","Drives consistent performance across multiple teams. Establishes measurable goals aligned with business priorities and reviews progress regularly. Holds team leads accountable for delivery quality and team health. Builds systems for regular performance calibration and recognition.","Builds scalable performance management systems and raises standards across a major business area. Uses performance data to identify organizational gaps and adjust structures or processes. Fosters a culture of excellence where high performance is recognized, rewarded, and expected.","Shapes performance culture across the design organization. Defines what 'great' looks like at each level and ensures consistency in how performance is evaluated and managed. Removes systemic barriers to high performance and champions continuous improvement.","Defines and operationalizes the performance philosophy for the entire design function. Ensures performance management practices attract, retain, and develop top talent. Influences company-wide performance culture through design leadership and visible role-modeling."
Develops Talent,Talent Growth & Succession,"Invests in the growth of direct reports through regular coaching, feedback, and stretch assignments. Identifies individual strengths and development areas and creates tailored growth plans. Supports career progression and ensures designers feel challenged and supported. Builds team capability through thoughtful hiring and onboarding.","Develops future leaders across multiple teams by aligning growth plans with team and business needs. Coaches team leads on people management and talent development. Builds a strong pipeline of capable successors and ensures knowledge transfer across teams. Reinforces a culture of learning and accountability for growth.","Builds leadership capability within the design function through structured development programs, succession planning, and strategic hiring. Sponsors emerging leaders and ensures talent development is connected to business needs. Creates systems that make coaching and growth part of the organizational culture.","Shapes the design organization's talent strategy, ensuring it attracts, develops, and retains world-class design talent. Builds leadership pipelines across multiple areas. Mentors directors and senior leaders on developing their teams. Ensures talent decisions are strategic and forward-looking.","Defines the talent philosophy for the design function and influences company-wide talent practices. Builds an employer brand that attracts exceptional design talent. Ensures succession planning is embedded at every level. Champions a culture where developing others is a core leadership expectation."
Execution & Impact,Delivery & Business Outcomes,"Plans and delivers team work reliably and on time. Breaks goals into clear milestones and tracks progress to ensure commitments are met. Identifies and escalates blockers early to maintain delivery momentum. Ensures the team's work translates into measurable product and user outcomes.","Aligns multiple teams to shared delivery goals and adapts plans as priorities evolve. Balances scope, capacity, and timelines across teams. Removes cross-team blockers and maintains urgency. Ensures execution drives visible business impact and that outcomes are measured and communicated.","Builds execution systems that connect design strategy to measurable business results across a major area. Scales delivery through standardized processes, metrics, and review cadences. Resolves systemic blockers and ensures design impact is visible to senior leadership.","Drives organizational execution excellence, ensuring the design function consistently delivers against strategic commitments. Aligns execution across multiple business areas and ensures design outcomes contribute to company OKRs. Builds the operating mechanisms that sustain high performance at scale.","Builds organization-wide operating mechanisms that connect design strategy to company results. Ensures the design function is recognized for its impact on business outcomes. Sets the standard for execution discipline and accountability across the design organization and influences how the company measures and values design impact."
