,,Junior Team Lead,Team Lead,Senior Team Lead,Associate Director,Director,Senior Director,Head of Engineering,CTO
Focus Level,,,1 Team,2 Teams,3+ teams within a Domain,Domain Leader ~ 3-5 Teams,Multiple Domain Leader ~ 6 Teams,,
Reports into,,Team Lead/Senior Team Lead,Senior Team Lead/Director,Director,Director/Senior Director of Engineering,Senior Director/Head of Engineering/CTO,Head of Engineering/CTO,CTO,-
Leadership,Mentoring,-,"Regularly provides guidance and mentorship to team members, fostering a culture of continuous learning and growth.","Regularly provides guidance and mentorship to team members across 2 teams, fostering a culture of continuous learning and growth","Mentors Team Leads and Senior Team Leads across multiple teams, fostering leadership skills and domain-specific expertise","Consistently provides guidance, thought leadership and mentorship to all engineers and managers in domain fostering a culture of continuous learning and growth.",,-,-
,Processes,-,"Leads team meetings, working closely with Product Manager, and manages team timelines and project deliverables as well as improvements to the SDLC.",,"Works closely with Director to identify areas for process improvements, supports implementation of best practices across multiple teams","Consistently guides, improves and develops processes across domain ensuring outcomes and deliverables are aligned with organisational goals.",,-,-
,Decision Making,-,"Primary decision maker in the team in consort with the Product Manager, while also collaborating with cross-functional teams to ensure alignment and consistency with company goals and objectives.","Primary decision maker across 2 teams in consort with the Product Manager, while also collaborating with cross-functional teams to ensure alignment and consistency with company goals and objectives.","Collaborate with Director to make strategic decisions for teams and domains, ensuring consistent execution of company goals","Primary decision maker for a domain with the Product Director, while also collaborating with cross-functional teams to ensure alignment and consistency with company goals and objectives.",,-,-
,Negotiation,-,Leads negotiations from within and outside of the engineering team(s) to ensure that all team members understand and are aligned with project goals and objectives. Proactively manages and resolves conflicts to maintain team cohesion and productivity.,,"Collaborates with Director to resolve team-level conflicts, ensures teams work harmoniously and aligned with the domain strategy","Leads cross-domain, cross-engineering and cross-functional negotiation, aligning team and domain goals with organisational goals. Proactively manages and resolves conflicts to maintain team cohesion and productivity.",,-,-
,Empathy & Emotional Intelligence,,"Demonstrates empathy and emotional awareness in day-to-day interactions. Builds trust by listening actively, responding thoughtfully, and fostering psychological safety within the team.
",,"Applies emotional intelligence to lead across teams, coach emerging leaders, and manage conflict with empathy while maintaining focus on business goals.","Models emotionally intelligent leadership at scale. Creates psychologically safe, inclusive environments, and coaches leaders to embed empathy into decision-making and culture.",,,
Delivery,Iterative Delivery,-,"Leads implementation of the iterative delivery process in the engineering team(s), ensuring that deliverables are delivered on time and to a high standard.",,"Oversees delivery across multiple teams, ensuring deliverables are aligned with timelines and domain objectives, works with Director for broader strategies","Oversees the iterative delivery process for a domain, ensuring the deliverables are delivered on time and to a high standard",,-,-
,Cadence & Predictability,-,"Always ensures that deliverables are completed on time and to a high standard. Works closely with Staff Engineers, Tech Leads and Senior Engineers to establish clear delivery timelines and milestones. Regularly communicates product and technical roadmap initiative project status and progress to stakeholders and management.",,"Ensures timely communication and progress reporting across teams, aligns with Director to maintain transparency and alignment on outcomes","Oversees timeliness and quality of deliverables across a domain, ensuring they are completed on time and to a high standard.",,-,-
Teamwork,Communication,-,Leads team communication on all team(s) initiatives and sets an example to the team of clear and effective communication.,,"Facilitates communication across teams, ensures alignment with Director on priorities and messaging",Leads and facilitates communication across a domain as well as providing an interface to senior leadership priorities,,-,-
,Collaboration,-,"Regularly helps and guides team members to overcome obstacles, resolve problems, and finish projects. Continuously recognises and gives credit to others for their work. Proactively detects and removes obstacles that hinder team success.",,"Drives cross-domain and cross-functional collaboration, ensuring alignment of domain efforts with company goals.Supports problem-solving across teams, ensuring coordination and cross-team support, escalates major issues to Director","Leads cross domain collaboration opportunities, and provides support to teams inside domain to collaborate on areas of commonaility.",,-,-
Business Impact,Product & Technical Expertise ,-,"Demonstrates strong Technical & Knowledge Expertise by applying deep understanding of the business model related to the product area they are currently focused on. Regularly provides input on the product roadmap in partnership with the product team to streamline product and technical design. 
",,"Applies Technical & Knowledge Expertise to collaborate with to enhance the product roadmap.  Understands technical constraints, resource availability, and business priorities to shape scalable and strategic growth plans. ","Demonstrates Technical & Knowledge Expertise by proactively seeking opportunities in partnership with Product Director to expand and enhance the product roadmap. Balances technical insight with business context to understand resource requirements, adjust focus and align priorities, optimise resources to achieve strategic goals.  ",,-,-
