Assessment Stage,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft & Visual Design:,"• Designs are outdated, inconsistent, or low-quality. • Layouts are cluttered, typography and color are weak, and interactive elements are non-functional or missing. • Portfolio is poorly organized or unprofessional.","• Visual execution is inconsistent. • Layout and hierarchy feel uneven; prototypes or animations are rough. • Portfolio is functional but carelessly presented, with at least 3 projects from the last 6 years and coverage of both desktop and mobile designs.","• Portfolio is professional. • Visual craft is strong, with polished animations, prototypes, and videos demonstrating good taste. • Includes multiple projects, both professional and personal, reflecting a variety of design experience.","• Portfolio portrays a highly proactive and versatile designer. • Beyond excellent visual craft, the work demonstrates a curiosity to learn and experiment—incorporating motion, new tools, or varied styles. • Projects show a ""builder mindset,"" where the designer pushes beyond the basic brief to elevate the final product feel through high-fidelity prototyping and creative exploration."
,Product Sense & Strategy:,• Shows little or no understanding of business context. • Problem is unclear. • Design decisions are disconnected from business goals. • Impact is vague or unsupported.,"• Shows some awareness of business context, but connections to outcomes are weak or inconsistent. • Projects tackle a small surface with limited revenue or impact. • Problem and business goals are partially defined, and impact is mentioned but not validated.",• Clear understanding of the problem and business context for the assigned scope. • Design decisions are visibly connected to the stated goals. • The portfolio includes basic success metrics (quantitative or qualitative) or user feedback to validate the work.,"• Demonstrates strong product thinking. • The designer connects their specific feature work to broader business objectives or metrics (e.g., retention, conversion). • Shows initiative by referencing competitor analysis or data to justify decisions, proving they look beyond the immediate ticket."
,Communication,"• Builds the foundation. • Communication is unclear or incomplete. • Explanations are missing or vague. • Design decisions are not justified. • Writing is poor, and hard to navigate.","• Communication shows some structure but lacks depth or consistency. • Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.","• Communication is structured and logical. • Case studies follow a clear narrative arc (e.g., Problem → Solution →Result) without unnecessary fluff. • Explanations of why decisions were made are present. • May include a walkthrough video or clear visual summaries to aid understanding.","• Communication is engaging and dynamic. • The designer moves beyond static text, proactively using formats like short video walkthroughs, GIFs, or interactive demos to simulate the final experience. • The narrative clearly articulates the ""why"" behind decisions, demonstrating a deep ownership of the project from start to finish."
,User-centered problem solving,• Little to no evidence of user-centered thinking. • Problem is unclear. • Process steps and validation are missing. • Edge cases are ignored. • Artifacts such as screenshots of post-its or FigJam boards are unreadable or pixelated.,"• Basic awareness of UX process. • Problem and user context are partially defined. • Research is synthesized to highlight main issues, with some validation of the problem. • Process steps are described superficially.","• Demonstrates structured user-centered problem-solving. • Problem is clearly defined. • The problem is clearly defined, and solutions are grounded in user research or testing. • The process shows a logical progression (exploration,selection,validation). • Design artifacts are clean, readable, and relevant to the story.","• Detailed execution. • Research is synthesized into actionable insights rather than just listed. • The solution considers technical constraints, edge cases, and error states, not just the ""happy path."" • Shows a willingness to iterate based on feedback and challenges assumptions proactively."
Talent interview,Experience and background,"• No product design experience at all; only graphic, marketing, academic or conceptual work.",• Has some product design exposure but only in simple or non-scalable environments; shallow understanding of real product constraints.,• Has real product design experience with ownership of small features; understands user flows and delivers work with guidance.,• Has solid product experience for a mid-level; shows strong fundamentals and has worked on multiple features in real environments with increasing independence.
,Product Sense & Strategy:,• No ability to identify tradeoffs; decisions are arbitrary; lacks understanding of product goals.,• Understands strategy only when clearly explained; struggles to challenge assumptions or propose alternatives.,"• Understands product goals, frames problems, proposes rational solutions, and evaluates tradeoffs effectively.","• Exhibits Staff-level product intuition; consistently anticipates product risks, identifies opportunities, and improves strategy."
,Collaboration,• Struggles working cross-functionally; creates misalignment; cannot negotiate feasibility.,• Collaborates inconsistently; communication is reactive; struggles with engineering tradeoffs.,• Collaborates smoothly and independently with PMs and engineers; negotiates tradeoffs and helps maintain alignment.,• Drives strong collaboration; becomes a go-to partner for PMs/Eng; resolves team tensions and increases clarity.
,Communication,• Communication unclear or confusing; cannot present design decisions effectively.,"• Some clarity but lacks structure, depth, or conciseness; struggles with exec or stakeholder conversations.",• Presents design clearly and persuasively to stakeholders; documents decisions and argues tradeoffs effectively.,"• Craftsmanship-level communicator: clear, concise, persuasive; strong storyteller; could influence leadership."
,Ownership & Drive,• Relies on heavy supervision; avoids ambiguity; cannot handle entire scopes alone.,• Can own tasks but not projects; struggles when problems are ambiguous; inconsistent accountability.,• Fully owns feature scopes end-to-end; handles ambiguity; ensures quality; drives outcomes independently.,"• Shows Staff-level ownership: initiates improvements, drives cross-team alignment, creates clarity in ambiguous spaces."
