Focus Area,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Functional Skills: technical or job-related skills that are necessary to perform tasks within a particular role,Database Design,"Candidate struggles with fundamental database concepts, unable to define primary/foreign keys, identify correct table relationships (e.g., one-to-many vs. many-to-many), or apply basic normalization principles (e.g., repeating groups). May propose designs with significant data redundancy or lack clear entity relationships. Requires constant guidance for even simple schema tasks.","Candidate can design functional schemas for straightforward problems, but often overlooks critical details such as appropriate data types, effective indexing for performance, or proper handling of null values. Shows limited understanding of the impact of schema changes on existing systems and may lack robust strategies for safe database migrations (e.g., transaction management, rollback plans).","Candidate designs correct and well-structured schemas, demonstrating a solid understanding of data modeling, relationships, and normalization. Considers the implications of schema changes and proposes some effective strategies for migrations, including understanding the need for backward compatibility or using basic schema versioning. Can optimize designs for specific use cases (e.g., read-heavy systems) and articulate trade-offs.","Candidate demonstrates complete mastery of database design principles, creating robust, scalable, and highly performant architectures. Consistently accounts for complex edge cases (e.g., large data volumes, concurrent access, distributed systems), and develops comprehensive, safe production migration plans that include detailed steps, monitoring, and contingency plans. Designs for high availability, disaster recovery, and advanced indexing techniques. Acts as a mentor and sets best practices."
,Troubleshooting,"Candidate struggles to articulate thoughts clearly and concisely; ideas are fragmented, poorly structured, and difficult for the audience (technical or non-technical) to follow. Uses jargon inappropriately or fails to adapt communication style.","Candidate can convey basic ideas but often struggles with clarity, conciseness, or adapting the message to the audience. May require prompting to elaborate and may use overly technical language when explaining to non-technical stakeholders, leading to misunderstandings.","Candidate expresses ideas clearly and understandably, with occasional minor missteps in structure or tone. Can effectively explain technical concepts to both technical and non-technical audiences, fostering a general understanding, though complex nuances might require further clarification.","Candidate consistently articulates complex technical information with exceptional clarity, precision, and an appropriate tone for any audience. Expertly adapts communication style, fosters deep understanding, influences decision-making, and builds shared vision within the team and with stakeholders. Proactively identifies communication gaps."
,System Architecture,"Candidate demonstrates reluctance to engage in teamwork, struggles to share knowledge, or exhibits unconstructive conflict resolution. Prioritizes individual tasks over team goals, negatively impacting team cohesion and overall productivity.","Candidate participates in team activities but may struggle with active listening, sharing knowledge proactively, or effectively resolving conflicts. Requires explicit guidance to contribute meaningfully to collective problem-solving and may occasionally hinder team progress.","Candidate actively collaborates with team members, willingly shares knowledge, and generally resolves conflicts constructively. Contributes positively to the team environment, helps achieve shared goals, and supports other team members, fulfilling role requirements for teamwork.","Candidate is an exemplary collaborator, proactively seeking opportunities to work with others, fostering an inclusive environment, and consistently driving positive outcomes through teamwork. Mentors peers, mediates conflicts effectively, and significantly enhances team productivity and morale. Champions collective success and knowledge sharing."
Business Impact: skills that influence on the overall success and strategic direction of the organization,Problem solving / Critical Thinking,"Candidate struggles to identify a clear learning process or steps taken when faced with new skills/technologies. Requires extensive prompting to recall details and cannot articulate the outcome or any specific learnings, showing resistance to or difficulty with new information.","Candidate can describe a situation where they learned a new skill/technology but the approach is often reactive or unplanned. Can explain the basic outcome but struggles to connect it to broader learnings or future application, indicating a foundational understanding but limited proactive engagement.","Candidate effectively describes a structured approach to learning new skills/technologies, including resources and steps taken. Clearly articulates the positive outcome and identifies specific learnings that have been or could be incorporated into future scenarios, demonstrating a strong capacity for self-directed learning and application.","Candidate consistently demonstrates an exceptional ability to quickly and strategically learn and integrate new skills/technologies. They proactively seek out learning opportunities, develop innovative approaches to accelerate learning, articulate significant positive outcomes, and actively apply and share their learnings to mentor others and drive continuous improvement within the team."
,Communication / Problem Solving & Critical thinking,,,,
,Collaboration & Team work,,,,
,Adaptability & Resilience,,,,
,Fast Learner,,,,
Role Expertise,Customer Stakeholder Management,Struggles to explain technical concepts clearly; uses jargon or overly complex language; explanations confuse rather than clarify; unable to gauge audience understanding.,"Can explain basic concepts to a non-technical audience, but may rely on oversimplification or inconsistent analogies; needs prompting to adjust style; explanations lack structure.","Explains complex concepts clearly and concisely, tailoring language to suit non-technical stakeholders; uses helpful analogies or examples; checks for understanding and adjusts accordingly.","Consistently explains highly technical ideas in simple, relatable terms without dumbing them down; anticipates misunderstandings; builds trust and confidence through clarity; can teach others how to do the same."
,Problem Framing & Technical Versatility,"Focuses on the literal request (""X""). Struggles to uncover the underlying need (""Y"") without explicit guidance. Requires significant help to integrate complex systems and needs a detailed plan from a senior to deploy safely. Avoids pushing back.","Can understand a workflow if given some documentation. Asks clarifying questions to better understand ""X."" Can handle basic API integrations but needs support for complex issues (e.g., auth mismatches). Follows existing deployment checklists to ensure safety. Can push back but is not always persuasive.","Proactively investigates (e.g., asks ""why,"" shadows users) to uncover the true need (""Y""). Can independently design and implement robust integrations across complex/legacy systems. Knows when and how to push back effectively, presenting data and options to reach a compromise. Independently de-risks complex deployments.","Anticipates client needs before they are articulated. Reframes ""X vs. Y"" into a strategic solution (""Z"") that solves the root problem for the long term. Architects reusable solutions to handle classes of integration problems, not just one-offs. Mentors others on how to advise clients and manage technical risk."
