Focus Area,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Functional Skills: technical or job-related skills that are necessary to perform tasks within a particular role,Database Design,"Candidate struggles with fundamental database concepts, unable to define primary/foreign keys, identify correct table relationships (e.g., one-to-many vs. many-to-many), or apply basic normalization principles (e.g., repeating groups). May propose designs with significant data redundancy or lack clear entity relationships. Requires constant guidance for even simple schema tasks.","Candidate can design functional schemas for straightforward problems, but often overlooks critical details such as appropriate data types, effective indexing for performance, or proper handling of null values. Shows limited understanding of the impact of schema changes on existing systems and may lack robust strategies for safe database migrations (e.g., transaction management, rollback plans).","Candidate designs correct and well-structured schemas, demonstrating a solid understanding of data modeling, relationships, and normalization. Considers the implications of schema changes and proposes some effective strategies for migrations, including understanding the need for backward compatibility or using basic schema versioning. Can optimize designs for specific use cases (e.g., read-heavy systems) and articulate trade-offs.","Candidate demonstrates complete mastery of database design principles, creating robust, scalable, and highly performant architectures. Consistently accounts for complex edge cases (e.g., large data volumes, concurrent access, distributed systems), and develops comprehensive, safe production migration plans that include detailed steps, monitoring, and contingency plans. Designs for high availability, disaster recovery, and advanced indexing techniques. Acts as a mentor and sets best practices."
,Troubleshooting,"Candidate struggles to articulate thoughts clearly and concisely; ideas are fragmented, poorly structured, and difficult for the audience (technical or non-technical) to follow. Uses jargon inappropriately or fails to adapt communication style.","Candidate can convey basic ideas but often struggles with clarity, conciseness, or adapting the message to the audience. May require prompting to elaborate and may use overly technical language when explaining to non-technical stakeholders, leading to misunderstandings.","Candidate expresses ideas clearly and understandably, with occasional minor missteps in structure or tone. Can effectively explain technical concepts to both technical and non-technical audiences, fostering a general understanding, though complex nuances might require further clarification.","Candidate consistently articulates complex technical information with exceptional clarity, precision, and an appropriate tone for any audience. Expertly adapts communication style, fosters deep understanding, influences decision-making, and builds shared vision within the team and with stakeholders. Proactively identifies communication gaps."
,System Architecture,"Candidate demonstrates reluctance to engage in teamwork, struggles to share knowledge, or exhibits unconstructive conflict resolution. Prioritizes individual tasks over team goals, negatively impacting team cohesion and overall productivity.","Candidate participates in team activities but may struggle with active listening, sharing knowledge proactively, or effectively resolving conflicts. Requires explicit guidance to contribute meaningfully to collective problem-solving and may occasionally hinder team progress.","Candidate actively collaborates with team members, willingly shares knowledge, and generally resolves conflicts constructively. Contributes positively to the team environment, helps achieve shared goals, and supports other team members, fulfilling role requirements for teamwork.","Candidate is an exemplary collaborator, proactively seeking opportunities to work with others, fostering an inclusive environment, and consistently driving positive outcomes through teamwork. Mentors peers, mediates conflicts effectively, and significantly enhances team productivity and morale. Champions collective success and knowledge sharing."
,Node.js Expertise,Familiar with Node/Typescript syntax. Can make simple changes to existing code,"Can build features independently. Understands core concepts (e.g., Express middleware) but needs help with architecture.","Can architect and build complex, scalable features across the full stack. Deep expertise Node/TypeScript",A go-to expert for the most difficult Node/Typescript challenges. Sets standards and patterns for the entire organization.
"Practices: 
specific methods, techniques, or processes to achieve specific goals",Technical Architecture & Risk Management,Can describe the architecture of a feature they built. Identifies obvious risks.,Can design the architecture for a multi-component feature. Can identify and plan for common technical risks,"Independently designs architecture for large-scale projects. Proactively identifies subtle risks (technical, product, timeline) and creates robust contingency plans.",Leads architectural strategy for a whole domain. Can architect systems-of-systems. Expert at identifying and mitigating long-term strategic risks.
Team Work: interpersonal or soft skills to work effectively with others in a collaborative environment,TEAM WORK (Communication & Collaboration),"Struggles to communicate technical ideas clearly; documentation is incomplete or confusing. Has difficulty collaborating with others, leading to misunderstandings or rework.",Communicates basic ideas but inconsistently; documentation lacks clarity or depth. Collaboration is present but often reactive; alignment across teams is limited.,"Explains technical choices clearly within the team, maintains proper documentation, and collaborates effectively with peers to deliver aligned solutions.","Communicates complex technical concepts clearly across teams, facilitates smooth cross-functional collaboration, and mentors others on documentation and effective teamwork."
Business Impact: skills that influence on the overall success and strategic direction of the organization,"OWNERSHIP (Availabillity, Accountability & Drive)","Avoids responsibility, lacks follow-through, frequently misses deadlines, and needs constant supervision.
","Takes responsibility but requires frequent reminders, struggles to work autonomously, and does not proactively solve issues.
","Reliable, ensures follow-through on tasks, takes initiative when needed, and delivers assigned work on time.
","Takes full ownership, proactively drives solutions, aligns with stakeholders, and removes blockers for the team.
"
,TECHNICAL CRITICAL THINKING (Code Quality & System Design),"Struggles to analyze and resolve problems, frequently introduces new bugs, requires constant guidance for debugging and troubleshooting.
","Solves basic problems but lacks independent thinking, often applies quick fixes without addressing root causes.
","Strong analytical thinker, resolves most issues independently, applies structured problem-solving approaches.
","Proactively identifies potential issues, optimizes solutions, and improves system performance with minimal oversight."
,TECHNICAL CRITICAL THINKING (Code Quality & System Design),"Weak technical skills, struggles with engineering fundamentals, writes inefficient or error-prone code, and frequently needs rework.
","Has a basic understanding of technical concepts but needs guidance for complex tasks, occasionally writes suboptimal or unscalable code.
","Strong technical skills, writes clean, maintainable, and efficient code, follows best practices, and designs robust solutions.
","Highly skilled in writing optimized, scalable, and secure code. Refactors and improves existing codebases, mentors others on best practices, and actively participates in system design discussions.

"
