Focus Area,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Functional Skills: technical or job-related skills that are necessary to perform tasks within a particular role,Partner (or Enterprise) Prospecting,"Understands the fundamentals of partnership development and follows established plans or direction to identify potential prospects.
Executes predefined prospecting plans with guidance and focuses on learning channel and market dynamics.","Independently scopes and prioritizes prospects within assigned channels and geographies, applying standard planning methods.
Develops and manages a structured prospecting plan to acquire partnerships within defined markets.","Strategically analyzes markets, identifies high-value opportunities, and designs tailored acquisition plans that drive measurable growth.
Builds and executes data-driven partnership strategies that optimize acquisition and market impact.","Leads partnership strategy across multiple channels and regions, innovating planning frameworks and mentoring others in strategic prospecting and acquisition.
Shapes partnership strategy at scale, setting best practices for scoping, prioritization, and acquisition excellence."
,Negotiation skills,"Understands core negotiation principles and supports discussions by following established guidelines or scripts.
Participates in straightforward negotiations using standard terms under supervision.","Conducts independent negotiations on standard deals, balancing customer needs and company goals while maintaining fairness and clarity.
Negotiates standard terms confidently, ensuring mutually beneficial outcomes within defined parameters.","Manages complex negotiations, tailors creative deal structures, and secures strong agreements that maximize value for both parties.
Leverages creativity and strategy to close complex, high-value deals that achieve win-win outcomes.","Leads negotiation strategy across major or strategic partnerships, crafting innovative commercial structures and mentoring others in advanced deal-making.
Shapes negotiation strategies organization-wide, driving innovative, high-impact agreements that set new standards for success."
,Relationship Management,"Demonstrates foundational communication and follow-up skills to maintain positive relationships with mid-level contacts under guidance.
Builds and maintains professional relationships with guidance, focusing on consistent communication and trust.","Independently develops and sustains productive relationships with mid-level stakeholders, ensuring continued engagement and satisfaction.
Manages and grows mid-level business relationships independently, fostering trust and ongoing collaboration.","Builds and deepens long-term relationships with both mid-level and executive stakeholders, aligning solutions with business goals to drive growth.
Cultivates strategic, long-term partnerships across organizational levels that deliver mutual business value.","Serves as a trusted advisor to executives, expanding relationships across all business sizes and mentoring others in relationship management excellence.
Leads executive-level relationship strategy, driving sustained growth and influence through trust and strategic alignment."
,Channel Knowledge,"Demonstrates a foundational awareness of partner ecosystems and sales processes; participates in partnership activities with direction.
Understands basic partnership dynamics and supports collaboration efforts under guidance.","Applies knowledge of partner ecosystems and sales processes to manage standard partnerships and contribute to joint growth initiatives.
Effectively manages partnerships within defined frameworks, aligning sales and collaboration strategies for mutual success.","Strategically leverages deep understanding of partner ecosystems to identify synergies, optimize collaboration, and drive measurable business growth.
Drives business expansion by aligning complex partner networks with sales and growth objectives.","Shapes partnership and sales collaboration strategy across ecosystems, creating scalable models for growth and mentoring others in ecosystem excellence.
Leads strategic partnership ecosystems, designing innovative collaboration models that deliver sustainable growth."
"Practices: 
specific methods, techniques, or processes to achieve specific goals",Key Account Management,"Understands the fundamental concepts of key account management and can recognize standard processes, templates, and terminology. Requires guidance to apply them in practice.
","Can apply established KAM processes and templates in day-to-day work with moderate supervision. Understands the logic behind account planning and customer engagement steps.
","Deeply understands and effectively executes KAM processes, procedures, and strategies across multiple accounts. Proactively improves existing templates and contributes to strategic account planning.","Recognized as a subject matter expert in key account management. Designs, implements, and continuously evolves KAM frameworks, templates, and strategies to support organizational objectives. Shapes best practices and mentors others."
,Metrics Management,Understands the basic concepts of operational metrics and performance indicators. Can interpret simple data reports with guidance and recognizes the relationship between metrics and operational goals.,"Able to collect, analyze, and interpret standard operational data independently. Uses metrics to identify improvement areas and supports decision-making with data-driven insights.",Leverages analytical tools and methodologies to generate deeper insights from complex operational data. Translates findings into actionable strategies that improve performance and efficiency.,"Develops advanced performance measurement frameworks, sets organizational standards for data-driven decision-making, and mentors others in analytical best practices."
Team Work: interpersonal or soft skills to work effectively with others in a collaborative environment,Communication,"Understands the organization’s products, services, and basic value propositions. Communicates them clearly in simple terms but may lack persuasive impact or tailoring for different audiences.",Effectively conveys value propositions in both written and verbal communication. Adapts messages to suit different audiences and contexts to influence understanding and engagement.,"Delivers compelling and persuasive value propositions that resonate across varied stakeholders. Integrates deep business insight, storytelling, and data to inspire confidence and action.",Recognized as a master communicator who shapes high-impact narratives and influences strategic decisions. Defines communication standards and trains others in articulating the organization’s value with clarity and persuasion.
,Collaboration,Participates in team activities and shares relevant information when asked. Understands the importance of collaboration but may focus mainly on their own tasks and responsibilities.,"Actively engages with colleagues and other teams to share information and ensure clarity. Seeks input, provides updates proactively, and supports joint goals through regular collaboration.","Facilitates effective collaboration across teams by promoting open communication, transparency, and shared accountability. Anticipates information needs and ensures alignment toward common objectives.","Sets the standard for collaboration across the organization. Creates systems, cultures, and communication practices that foster alignment, shared purpose, and collective success. Acts as a role model and mentor for collaborative teamwork."
Business Impact: skills that influence on the overall success and strategic direction of the organization,Resilience,Demonstrates an understanding that rejection is part of the sales process. Can recover from setbacks with encouragement but may need support to stay positive and maintain motivation.,Handles rejection constructively and maintains a positive attitude with minimal supervision. Learns from unsuccessful attempts and uses feedback to improve future performance.,"Exhibits strong emotional resilience and consistent drive in the face of repeated challenges. Inspires others through determination, persistence, and an optimistic approach to achieving sales targets.","Acts as a role model for resilience and motivation. Creates a culture of perseverance and positivity within the sales team, using setbacks as opportunities for growth and innovation."
