Assessment Stage,Competency,Description,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft & Visual Design: ,"This is the executional quality of the work. It encompasses a designer's strong command of typography, layout, color, and spacing, ensuring UIs are clean, consistent, and well-structured. It also includes the demonstration of taste, a refined visual sensibility that results in designs that ""just look good"" and feel balanced and intentional. Prototyping and AI-driven design are also crucial here; designers should be able to create high-fidelity prototypes to share with the team and explore emerging tools like AI to enhance their workflow.","Designs are outdated, inconsistent, or low-quality. Layouts are cluttered, typography and color are weak, and interactive elements are non-functional or missing. Portfolio is poorly organized or unprofessional.","Visual execution is inconsistent. Layout and hierarchy feel uneven; prototypes or animations are rough. Portfolio is functional but carelessly presented, with at least 3 projects from the last 6 years and coverage of both desktop and mobile designs.","Portfolio is professional. Visual craft is strong, with polished animations, prototypes, and videos demonstrating good taste. Includes multiple projects, both professional and personal, reflecting a variety of design experience.","Portfolio portrays a highly proactive and versatile designer. Beyond excellent visual craft, the work demonstrates a curiosity to learn and experiment—incorporating motion, new tools, or varied styles. Projects show a ""builder mindset,"" where the designer pushes beyond the basic brief to elevate the final product feel through high-fidelity prototyping and creative exploration.
"
,Product Sense & Strategy:,"This competency is about understanding the broader business context and how design directly contributes to product goals and business outcomes. It’s about being a strategic partner, challenging low-impact features, and contributing to the roadmap. Designs should be intentional and grounded in data, leveraging both qualitative and quantitative insights to validate decisions and frame them as testable hypotheses.",Shows little or no understanding of business context. Problem is unclear. Design decisions are disconnected from business goals. Impact is vague or unsupported.,"Shows some awareness of business context, but connections to outcomes are weak or inconsistent. Projects tackle a small surface with limited revenue or impact. Problem and business goals are partially defined, and impact is mentioned but not validated.",Clear understanding of the problem and business context for the assigned scope. Design decisions are visibly connected to the stated goals. The portfolio includes basic success metrics (quantitative or qualitative) or user feedback to validate the work.,"Demonstrates strong product thinking. The designer connects their specific feature work to broader business objectives or metrics (e.g., retention, conversion). Shows initiative by referencing competitor analysis or data to justify decisions, proving they look beyond the immediate ticket."
,Communication,"Clear, confident communication is essential for Deel designers. They must be skilled storytellers who can articulate design decisions with clarity and purpose, tailoring their message to suit different audiences. Beyond simply presenting work, they ""sell"" their design vision - bringing others along the journey through persuasive narratives that connect design rationale to user needs and business impact.","Builds the foundation. Communication is unclear or incomplete. Explanations are missing or vague. Design decisions are not justified. Writing is poor, and hard to navigate.","Communication shows some structure but lacks depth or consistency. Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.","Communication is structured and logical. Case studies follow a clear narrative arc (e.g., Problem → Solution →Result) without unnecessary fluff. Explanations of why decisions were made are present. May include a walkthrough video or clear visual summaries to aid understanding.","Communication is engaging and dynamic. The designer moves beyond static text, proactively using formats like short video walkthroughs, GIFs, or interactive demos to simulate the final experience. The narrative clearly articulates the ""why"" behind decisions, demonstrating a deep ownership of the project from start to finish."
,User-centered problem solving,"This is the foundation of great UX. It's the ability to define and simplify complex user problems and create intuitive, elegant, and user-centered solutions. This includes framing problems clearly, mapping pain points, thinking through all possible states and edge cases, and catching them early in the process.",Little to no evidence of user-centered thinking. Problem is unclear. Process steps and validation are missing. Edge cases are ignored. Artifacts such as screenshots of post-its or FigJam boards are unreadable or pixelated.,"Basic awareness of UX process. Problem and user context are partially defined. Research is synthesized to highlight main issues, with some validation of the problem. Process steps are described superficially.","Demonstrates structured user-centered problem-solving. Problem is clearly defined. The problem is clearly defined, and solutions are grounded in user research or testing. The process shows a logical progression (exploration,selection,validation). Design artifacts are clean, readable, and relevant to the story. ","Detailed execution. Research is synthesized into actionable insights rather than just listed. The solution considers technical constraints, edge cases, and error states, not just the ""happy path."" Shows a willingness to iterate based on feedback and challenges assumptions proactively."
Talent interview,Experience and background,"Experience and Background evaluates the candidate’s design trajectory, depth of exposure to real product environments, types of problems they’ve solved, industries they've worked in, and how their previous experience aligns with the role’s expectations.","No product design experience at all; only graphic, marketing, academic or conceptual work.",Has some product design exposure but only in simple or non-scalable environments; shallow understanding of real product constraints.,Has real product design experience with ownership of small features; understands user flows and delivers work with guidance.,Has solid product experience for a mid-level; shows strong fundamentals and has worked on multiple features in real environments with increasing independence.
,Product Sense & Strategy:,"This competency is about understanding the broader business context and how design directly contributes to product goals and business outcomes. It’s about being a strategic partner, challenging low-impact features, and contributing to the roadmap. Designs should be intentional and grounded in data, leveraging both qualitative and quantitative insights to validate decisions and frame them as testable hypotheses.",Cannot articulate how design decisions relate to user or business needs; only focuses on visuals.,Understands problems at surface level; can follow requirements but cannot evaluate tradeoffs or suggest improvements.,Shows good understanding of user needs and can translate requirements into rational solutions; asks smart questions to clarify strategy.,Shows impressive emerging product thinking; anticipates problems and suggests improvements beyond the given brief while staying within mid-level expectations.
,Collaboration,"Designers at Deel are expected to work seamlessly across functions, building strong partnerships with peers and stakeholders. They proactively seek and provide feedback, foster trust, and contribute to a supportive, solution-oriented team environment. Effective collaboration means understanding cross-functional priorities, aligning on shared goals, and ensuring design decisions complement broader business and product objectives.",Cannot communicate with PM/Eng; creates friction; waits passively for direction.,Collaborates inconsistently; provides updates only when asked; struggles to integrate feedback.,Collaborates smoothly with PM/Eng/other designers; communicates clearly and integrates feedback well.,Takes proactive collaborative steps; helps unblock others; improves communication flow inside the squad.
,Communication,"Clear, confident communication is essential for Deel designers. They must be skilled storytellers who can articulate design decisions with clarity and purpose, tailoring their message to suit different audiences. Beyond simply presenting work, they ""sell"" their design vision - bringing others along the journey through persuasive narratives that connect design rationale to user needs and business impact.",Struggles to explain decisions; cannot structure reasoning; loses track when questioned.,Can explain what was done but not why; relies heavily on others to communicate work.,"Communicates reasoning clearly, presents work in a structured way, and integrates feedback constructively.",Communicates with clarity and confidence; explains tradeoffs well; presents stronger than expected for mid-level.
,Ownership & Drive,"This is about a designer's agency and self-motivation. A high-performing designer takes initiative, pushes for quality, and drives work forward without being asked. They act with autonomy and demonstrate a deep sense of responsibility for their work, bringing potential solutions to the table rather than just problems.",Needs constant direction; waits for tasks; does not push work forward independently.,Shows some initiative but still relies heavily on supervision to move work forward; inconsistent follow-through.,Takes ownership of assigned tasks; drives progress with minimal reminders; escalates when blocked.,Shows high initiative for a mid-level; proactively identifies small improvements and takes responsibility beyond assigned tasks.
Case study,Craft & Visual Design: ,"This is the executional quality of the work. It encompasses a designer's strong command of typography, layout, color, and spacing, ensuring UIs are clean, consistent, and well-structured. It also includes the demonstration of taste, a refined visual sensibility that results in designs that ""just look good"" and feel balanced and intentional. Prototyping and AI-driven design are also crucial here; designers should be able to create high-fidelity prototypes to share with the team and explore emerging tools like AI to enhance their workflow.","The chosen problem is vague, trivial, or lacks strategic alignment with the app's business goals. Assumptions about the user are generic, and there's no clear plan for validation.","Clearly defines a specific, relevant user problem and articulates a reasonable connection to business goals and market position. Identifies key user flows, assumptions, and proposes a basic, logical validation approach.","Defines a highly strategic problem that addresses a significant user need and a clear business opportunity. Proactively integrates external/competitive learnings. Proposes a comprehensive, insightful validation strategy that minimizes risk.","Transforms the task's premise by identifying a deeper, systemic root problem or a completely untapped opportunity that drives new business value (e.g., a platform play vs. a feature). The solution is inherently scalable and sets up future strategic work."
