Assessment Stage,Competency,Description,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft & Visual Design: ,"This is the executional quality of the work. It encompasses a designer's strong command of typography, layout, color, and spacing, ensuring UIs are clean, consistent, and well-structured. It also includes the demonstration of taste, a refined visual sensibility that results in designs that ""just look good"" and feel balanced and intentional. Prototyping and AI-driven design are also crucial here; designers should be able to create high-fidelity prototypes to share with the team and explore emerging tools like AI to enhance their workflow.","Designs are outdated, inconsistent, or low-quality. Layouts are cluttered, typography and color are weak, and interactive elements are non-functional or missing. Portfolio is poorly organized or unprofessional.","Visual execution is inconsistent. Layout and hierarchy feel uneven; prototypes or animations are rough. Portfolio is functional but carelessly presented, with at least 3 projects from the last 6 years and coverage of both desktop and mobile designs.","Portfolio is professional and not a templated site from a known provider. Visual craft is strong, with polished animations, prototypes, and videos demonstrating good taste. Includes multiple projects, both professional and personal, reflecting a variety of design experience.","Portfolio shows the designer as an exceptional builder, including their own apps and projects across multiple areas. Work demonstrates AI-assisted design and includes a showreel for quickly skimming all projects."
,Product Sense & Strategy:,"This competency is about understanding the broader business context and how design directly contributes to product goals and business outcomes. It’s about being a strategic partner, challenging low-impact features, and contributing to the roadmap. Designs should be intentional and grounded in data, leveraging both qualitative and quantitative insights to validate decisions and frame them as testable hypotheses.",Shows little or no understanding of business context. Problem is unclear. Design decisions are disconnected from business goals. Impact is vague or unsupported.,"Shows some awareness of business context, but connections to outcomes are weak or inconsistent. Projects tackle a small surface with limited revenue or impact. Problem and business goals are partially defined, and impact is mentioned but not validated.","Clear understanding of business context. Projects cover multiple surfaces and have high revenue or impact. Problem and solution are clearly connected, and the portfolio demonstrates measurable impact through metrics, feedback, qualitative, or observable outcomes.","Demonstrates deep strategic insight. Projects span accross multiple surfaces and fundamentally transform a platform or business. Decisions are closely tied to business goals, with measurable impact and evidence of system-level thinking or influence on the roadmap."
,Communication,"Clear, confident communication is essential for Deel designers. They must be skilled storytellers who can articulate design decisions with clarity and purpose, tailoring their message to suit different audiences. Beyond simply presenting work, they ""sell"" their design vision - bringing others along the journey through persuasive narratives that connect design rationale to user needs and business impact.","Builds the foundation. Communication is unclear or incomplete. Explanations are missing or vague. Design decisions are not justified. Writing is poor, and hard to navigate.","Communication shows some structure but lacks depth or consistency. Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.","Communication is clear, complete, and structured. Explanations are coherent and professional, with a storyline that is easy to follow. Candidate may include a video walking through the product or project, demonstrating effort to explain their work clearly.","Communication is compelling and highly persuasive. Explanations are insightful, well-connected, and demonstrate mastery of storytelling. Portfolio includes a mini case study video (e.g., a 4-minute teaser) summarizing the project and impact, allowing reviewers to quickly grasp the work and its value."
,User-centered problem solving,"This is the foundation of great UX. It's the ability to define and simplify complex user problems and create intuitive, elegant, and user-centered solutions. This includes framing problems clearly, mapping pain points, thinking through all possible states and edge cases, and catching them early in the process.",Little to no evidence of user-centered thinking. Problem is unclear. Process steps and validation are missing. Edge cases are ignored. Artifacts such as screenshots of post-its or FigJam boards are unreadable or pixelated.,"Basic awareness of UX process. Problem and user context are partially defined. Research is synthesized to highlight main issues, with some validation of the problem. Process steps are described superficially.","Demonstrates structured user-centered problem-solving. Problem is clearly defined. Research covers multiple users across touchpoints, including service design from physical to digital. Considerations may extend to marketing, support, or other cross-functional areas. UX process is logical, exploring alternatives and validating solutions.","Sets a high standard for user-centered problem-solving. Problem and context are insightfully framed. Research and solutions tap into market knowledge, competitor analysis, macroeconomic and trend data, as well as qualitative and quantitative insights. Process is comprehensive, adaptable, and well-communicated. Solutions consider edge cases and constraints, with clear rationale tied to user needs and outcomes."
Talent interview,Experience and background,"Experience and Background evaluates the candidate’s design trajectory, depth of exposure to real product environments, types of problems they’ve solved, industries they've worked in, and how their previous experience aligns with the role’s expectations.",Limited or no experience designing product features end-to-end; too dependent on others to execute.,"Has experience but only in junior-level scope; lacks exposure to mature products, real constraints, or shipping responsibilities.",Has strong experience designing and shipping meaningful features end-to-end with consistent ownership.,"Shows experience beyond typical Senior level: has led multiple product areas, scaled features, and worked across platforms or complex systems."
,Product Sense & Strategy:,"This competency is about understanding the broader business context and how design directly contributes to product goals and business outcomes. It’s about being a strategic partner, challenging low-impact features, and contributing to the roadmap. Designs should be intentional and grounded in data, leveraging both qualitative and quantitative insights to validate decisions and frame them as testable hypotheses.",No ability to identify tradeoffs; decisions are arbitrary; lacks understanding of product goals.,Understands strategy only when clearly explained; struggles to challenge assumptions or propose alternatives.,"Understands product goals, frames problems, proposes rational solutions, and evaluates tradeoffs effectively.","Exhibits Staff-level product intuition; consistently anticipates product risks, identifies opportunities, and improves strategy."
,Collaboration,"Designers at Deel are expected to work seamlessly across functions, building strong partnerships with peers and stakeholders. They proactively seek and provide feedback, foster trust, and contribute to a supportive, solution-oriented team environment. Effective collaboration means understanding cross-functional priorities, aligning on shared goals, and ensuring design decisions complement broader business and product objectives.",Struggles working cross-functionally; creates misalignment; cannot negotiate feasibility.,Collaborates inconsistently; communication is reactive; struggles with engineering tradeoffs.,Collaborates smoothly and independently with PMs and engineers; negotiates tradeoffs and helps maintain alignment.,Drives strong collaboration; becomes a go-to partner for PMs/Eng; resolves team tensions and increases clarity.
,Communication,"Clear, confident communication is essential for Deel designers. They must be skilled storytellers who can articulate design decisions with clarity and purpose, tailoring their message to suit different audiences. Beyond simply presenting work, they ""sell"" their design vision - bringing others along the journey through persuasive narratives that connect design rationale to user needs and business impact.",Communication unclear or confusing; cannot present design decisions effectively.,"Some clarity but lacks structure, depth, or conciseness; struggles with exec or stakeholder conversations.",Presents design clearly and persuasively to stakeholders; documents decisions and argues tradeoffs effectively.,"Craftsmanship-level communicator: clear, concise, persuasive; strong storyteller; could influence leadership."
,Ownership & Drive,"This is about a designer's agency and self-motivation. A high-performing designer takes initiative, pushes for quality, and drives work forward without being asked. They act with autonomy and demonstrate a deep sense of responsibility for their work, bringing potential solutions to the table rather than just problems.",Relies on heavy supervision; avoids ambiguity; cannot handle entire scopes alone.,Can own tasks but not projects; struggles when problems are ambiguous; inconsistent accountability.,Fully owns feature scopes end-to-end; handles ambiguity; ensures quality; drives outcomes independently.,"Shows Staff-level ownership: initiates improvements, drives cross-team alignment, creates clarity in ambiguous spaces."
Case study,Craft & Visual Design: ,"This is the executional quality of the work. It encompasses a designer's strong command of typography, layout, color, and spacing, ensuring UIs are clean, consistent, and well-structured. It also includes the demonstration of taste, a refined visual sensibility that results in designs that ""just look good"" and feel balanced and intentional. Prototyping and AI-driven design are also crucial here; designers should be able to create high-fidelity prototypes to share with the team and explore emerging tools like AI to enhance their workflow.","The chosen problem is vague, trivial, or lacks strategic alignment with the app's business goals. Assumptions about the user are generic, and there's no clear plan for validation.","Clearly defines a specific, relevant user problem and articulates a reasonable connection to business goals and market position. Identifies key user flows, assumptions, and proposes a basic, logical validation approach.","Defines a highly strategic problem that addresses a significant user need and a clear business opportunity. Proactively integrates external/competitive learnings. Proposes a comprehensive, insightful validation strategy that minimizes risk.","Transforms the task's premise by identifying a deeper, systemic root problem or a completely untapped opportunity that drives new business value (e.g., a platform play vs. a feature). The solution is inherently scalable and sets up future strategic work."
