Assessment Stage,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft Excellence,"• Designs are outdated, inconsistent, or low-quality. • Layouts are cluttered, typography and color are weak, and interactive elements are non-functional or missing. • Portfolio is poorly organized or unprofessional.","• Visual execution is inconsistent. • Layout and hierarchy feel uneven; prototypes or animations are rough. • Portfolio is functional but carelessly presented, with at least 3 projects from the last 6 years and coverage of both desktop and mobile designs.","• Portfolio is professional and not a templated site from a known provider. • Visual craft is strong, with polished animations, prototypes, and videos demonstrating good taste. • Includes multiple projects, both professional and personal, reflecting a variety of design experience.","• Portfolio shows the designer as an exceptional builder, including their own apps and projects across multiple areas. • Work demonstrates AI-assisted design and includes a showreel for quickly skimming all projects."
,Problem Solving,• Shows little or no understanding of business context. • Problem is unclear. • Design decisions are disconnected from business goals. • Impact is vague or unsupported.,"• Shows some awareness of business context, but connections to outcomes are weak or inconsistent. • Projects tackle a small surface with limited revenue or impact. • Problem and business goals are partially defined, and impact is mentioned but not validated.","• Clear understanding of business context. • Projects cover multiple surfaces and have high revenue or impact. • Problem and solution are clearly connected, and the portfolio demonstrates measurable impact through metrics, feedback, qualitative, or observable outcomes.","• Demonstrates deep strategic insight. • Projects span accross multiple surfaces and fundamentally transform a platform or business. • Decisions are closely tied to business goals, with measurable impact and evidence of system-level thinking or influence on the roadmap."
,Communication,"• Builds the foundation. • Communication is unclear or incomplete. • Explanations are missing or vague. • Design decisions are not justified. • Writing is poor, and hard to navigate.","• Communication shows some structure but lacks depth or consistency. • Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.","• Communication is clear, complete, and structured. • Explanations are coherent and professional, with a storyline that is easy to follow. • Candidate may include a video walking through the product or project, demonstrating effort to explain their work clearly.","• Communication is compelling and highly persuasive. • Explanations are insightful, well-connected, and demonstrate mastery of storytelling. • Portfolio includes a mini case study video (e.g., a 4-minute teaser) summarizing the project and impact, allowing reviewers to quickly grasp the work and its value."
,Customer Focus,• Little to no evidence of user-centered thinking. • Problem is unclear. • Process steps and validation are missing. • Edge cases are ignored. • Artifacts such as screenshots of post-its or FigJam boards are unreadable or pixelated.,"• Basic awareness of UX process. • Problem and user context are partially defined. • Research is synthesized to highlight main issues, with some validation of the problem. • Process steps are described superficially.","• Demonstrates structured user-centered problem-solving. • Problem is clearly defined. • Research covers multiple users across touchpoints, including service design from physical to digital. • Considerations may extend to marketing, support, or other cross-functional areas. • UX process is logical, exploring alternatives and validating solutions.","• Sets a high standard for user-centered problem-solving. • Problem and context are insightfully framed. • Research and solutions tap into market knowledge, competitor analysis, macroeconomic and trend data, as well as qualitative and quantitative insights. • Process is comprehensive, adaptable, and well-communicated. • Solutions consider edge cases and constraints, with clear rationale tied to user needs and outcomes."
,Problem Solving,• Lacks strategic depth; cannot define problems or propose data-supported direction.,• Understands strategy but inconsistently drives it; relies on PM to define problems; limited market thinking.,"• Defines problems, shapes product direction, uses data/research to justify hypotheses, and influences roadmap.","• Operates at near-principal level; identifies long-term opportunities, shapes vision, and materially influences business direction."
,Collaboration,• Cannot lead discussions; creates misalignment across teams; poor conflict-handling.,• Participates but struggles to lead; cannot facilitate multi-team decisions effectively.,• Leads cross-functional alignment; mediates tradeoffs; facilitates workshops; ensures clarity across teams.,• Exceptional facilitator; resolves systemic issues; drives organization-wide alignment and becomes a trusted strategic partner.
,Communication,• Communication unclear and unstructured; cannot present complex systems effectively.,• Some clarity but struggles with strategic or executive-level communication; reasoning lacks depth.,• Presents complex proposals with clarity; persuades partners with evidence; mentors others in communication.,• Influences executives confidently; sets communication standards; uses storytelling to drive strategic decisions.
,Ownership,• Struggles with complex or ambiguous problem spaces; requires oversight; avoids risk.,• Can handle medium complexity but struggles with multi-team scope; limited initiative.,"• Owns complex product areas; drives strategy, execution, alignment, and measurable outcomes; mentors others.",• Takes ownership at org-level scale; identifies systemic gaps; leads transformative initiatives; multiplies team effectiveness.
Case study,Craft Excellence,"• The chosen problem is vague, trivial, or lacks strategic alignment with the app's business goals. • Assumptions about the user are generic, and there's no clear plan for validation.","• Clearly defines a specific, relevant user problem and articulates a reasonable connection to business goals and market position. • Identifies key user flows, assumptions, and proposes a basic, logical validation approach.","• Defines a highly strategic problem that addresses a significant user need and a clear business opportunity. • Proactively integrates external/competitive learnings. • Proposes a comprehensive, insightful validation strategy that minimizes risk.","• Transforms the task's premise by identifying a deeper, systemic root problem or a completely untapped opportunity that drives new business value (e.g., a platform play vs. • a feature). • The solution is inherently scalable and sets up future strategic work."
